word,semantic_dissimilarity
tana,0.4289642572402954
per,0.22912698984146118
fare,0.21105694770812988
una,0.21949481964111328
bella,0.2530139684677124
merenda,0.37071919441223145
sull',0.4382740259170532
erba,0.3794851303100586
anche,0.2628744840621948
con,0.20005005598068237
Elefante,0.3518678843975067
Orso,0.42596033215522766
prende,0.2691412568092346
un,0.3239648938179016
po',0.45225250720977783
di,0.2407546043395996
miele,0.3038427233695984
dalla,0.30046534538269043
sua,0.21615487337112427
dispensa,0.4406138062477112
e,0.22849392890930176
Formica,0.38838934898376465
raccoglie,0.198758065700531
tante,0.18855750560760498
bricioline,0.40135470032691956
che,0.23957347869873047
trova,0.21000772714614868
qua,0.3568255305290222
e,0.39044129848480225
là,0.3350318670272827
e,0.22087091207504272
così,0.2449926733970642
ecco,0.27028971910476685
fatto,0.336412250995636
che,0.1414012908935547
tutti,0.1697661280632019
mangiano,0.19454455375671387
contenti,0.26540446281433105
quella,0.27833420038223267
buffa,0.38200920820236206
merenda,0.3462678790092468
pucciando,0.39437851309776306
le,0.19456535577774048
briciole,0.3477558493614197
nel,0.32286983728408813
miele,0.26200222969055176
Orso,0.03128838539123535
prende,0.7873300313949585
un,0.5044208765029907
po',0.46103841066360474
di,0.3049858808517456
miele,0.2816808223724365
dalla,0.289512574672699
sua,0.216636061668396
dispensa,0.3762691020965576
e,0.19218891859054565
Formica,0.35655421018600464
raccoglie,0.1764739751815796
tante,0.14762067794799805
bricioline,0.35225939750671387
che,0.24582111835479736
trova,0.20934689044952393
qua,0.3687702417373657
e,0.352239727973938
là,0.33167850971221924
e,0.18204909563064575
così,0.20921993255615234
ecco,0.3320503830909729
fatto,0.3216853141784668
che,0.1295100450515747
tutti,0.16220355033874512
mangiano,0.18493378162384033
contenti,0.26902955770492554
quella,0.2258002758026123
buffa,0.32318106293678284
merenda,0.24920189380645752
pucciando,0.36716097593307495
le,0.17345738410949707
briciole,0.2871386706829071
nel,0.26758331060409546
miele,0.44804516434669495
